Saved on: 2026-06-26 18:51:44
Math: Range=4.0V, Offset=1.3266V
Comment: 

time in s,MATH in V
0.239806,-0.0005485190399998618
0.239807,0.030701482880000075
0.239808,-0.0005485190399998618
0.239809,-0.0005485190399998618
0.23981,0.030701482880000075
0.239811,0.06195148480000001
0.239812,-0.03179852096000002
0.239813,0.030701482880000075
0.239814,-0.0005485190399998618
0.239815,-0.0005485190399998618
0.239816,-0.0005485190399998618
0.239817,-0.03179852096000002
0.239818,0.030701482880000075
0.239819,0.030701482880000075
0.23981999999999998,-0.03179852096000002
0.23982099999999998,0.030701482880000075
0.23982199999999998,-0.0005485190399998618
0.23982299999999998,-0.0005485190399998618
0.23982399999999998,-0.0005485190399998618
0.23982499999999998,-0.0005485190399998618
0.23982599999999998,-0.0005485190399998618
0.23982699999999998,-0.03179852096000002
0.23982799999999999,-0.0005485190399998618
0.239829,0.030701482880000075
0.23983,0.030701482880000075
0.239831,-0.0005485190399998618
0.239832,-0.0005485190399998618
0.239833,-0.0005485190399998618
0.239834,-0.03179852096000002
0.239835,0.030701482880000075
0.239836,-0.0005485190399998618
0.239837,0.030701482880000075
0.239838,-0.0005485190399998618
0.239839,-0.0005485190399998618
0.23984,-0.0005485190399998618
0.239841,0.030701482880000075
0.239842,0.030701482880000075
0.239843,-0.03179852096000002
0.239844,-0.0005485190399998618
0.239845,-0.0005485190399998618
0.239846,-0.0005485190399998618
0.239847,-0.0005485190399998618
0.23984799999999998,0.030701482880000075
0.23984899999999998,-0.0005485190399998618
0.23984999999999998,-0.0005485190399998618
0.23985099999999998,0.030701482880000075
0.23985199999999998,-0.03179852096000002
0.23985299999999998,0.06195148480000001
0.23985399999999998,-0.0005485190399998618
0.23985499999999998,-0.0005485190399998618
0.23985599999999999,-0.03179852096000002
0.239857,0.06195148480000001
0.239858,-0.0005485190399998618
0.239859,-0.0005485190399998618
0.23986,0.030701482880000075
0.239861,0.030701482880000075
0.239862,-0.03179852096000002
0.239863,-0.0005485190399998618
0.239864,-0.0005485190399998618
0.239865,-0.0005485190399998618
0.239866,-0.0005485190399998618
0.239867,-0.0005485190399998618
0.239868,0.030701482880000075
0.239869,-0.0005485190399998618
0.23987,-0.03179852096000002
0.239871,-0.0005485190399998618
0.239872,0.030701482880000075
0.239873,-0.03179852096000002
0.239874,-0.0005485190399998618
0.239875,0.28070149824
0.23987599999999998,0.030701482880000075
0.23987699999999998,-0.0005485190399998618
0.23987799999999998,-0.0005485190399998618
0.23987899999999998,-0.0005485190399998618
0.23987999999999998,-0.0005485190399998618
0.23988099999999998,-0.0005485190399998618
0.23988199999999998,-0.03179852096000002
0.23988299999999999,-0.0005485190399998618
0.239884,2.28070162112
0.239885,2.28070162112
0.239886,2.28070162112
0.239887,2.2494516192000003
0.239888,2.18695161536
0.239889,-0.0005485190399998618
0.23989,-0.03179852096000002
0.239891,2.18695161536
0.239892,2.18695161536
0.239893,2.2494516192000003
0.239894,2.18695161536
0.239895,2.21820161728
0.239896,2.18695161536
0.239897,2.18695161536
0.239898,2.21820161728
0.239899,0.030701482880000075
0.2399,-0.03179852096000002
0.239901,2.18695161536
0.239902,-0.06304852287999996
0.239903,-0.0942985247999999
0.23990399999999998,2.2494516192000003
0.23990499999999998,2.2494516192000003
0.23990599999999998,2.21820161728
0.23990699999999998,2.18695161536
0.23990799999999998,-0.0005485190399998618
0.23990899999999998,2.18695161536
0.23990999999999998,2.21820161728
0.23991099999999999,2.18695161536
0.239912,2.18695161536
0.239913,2.21820161728
0.239914,-0.06304852287999996
0.239915,-0.06304852287999996
0.239916,2.21820161728
0.239917,2.2494516192000003
0.239918,2.18695161536
0.239919,2.21820161728
0.23992,-0.03179852096000002
0.239921,-0.0005485190399998618
0.239922,0.030701482880000075
0.239923,2.2494516192000003
0.239924,2.2494516192000003
0.239925,2.2494516192000003
0.239926,2.1557016134399998
0.239927,2.18695161536
0.239928,2.18695161536
0.239929,-0.06304852287999996
0.23993,1.03070154432
0.23993099999999998,2.18695161536
0.23993199999999998,2.21820161728
0.23993299999999998,2.18695161536
0.23993399999999998,2.21820161728
0.23993499999999998,2.2494516192000003
0.23993599999999998,2.18695161536
0.23993699999999998,2.1557016134399998
0.23993799999999998,-0.0005485190399998618
0.23993899999999999,-0.06304852287999996
0.23994,-0.03179852096000002
0.239941,2.1557016134399998
0.239942,2.21820161728
0.239943,2.31195162304
0.239944,2.1557016134399998
0.239945,2.18695161536
0.239946,2.18695161536
0.239947,2.1557016134399998
0.239948,2.1557016134399998
0.239949,2.1557016134399998
0.23995,2.21820161728
0.239951,2.1557016134399998
0.239952,1.9057015980799998
0.239953,-0.06304852287999996
0.239954,2.18695161536
0.239955,2.2494516192000003
0.239956,2.18695161536
0.239957,2.12445161152
0.239958,2.21820161728
0.23995899999999998,2.18695161536
0.23995999999999998,2.18695161536
0.23996099999999998,0.030701482880000075
0.23996199999999998,2.21820161728
0.23996299999999998,1.9994516038399999
0.23996399999999998,2.21820161728
0.23996499999999998,-0.06304852287999996
0.23996599999999998,2.21820161728
0.23996699999999999,2.21820161728
0.239968,2.18695161536
0.239969,-0.03179852096000002
0.23997,-0.06304852287999996
0.239971,2.28070162112
0.239972,2.2494516192000003
0.239973,-0.03179852096000002
0.239974,2.2494516192000003
0.239975,-0.03179852096000002
0.239976,2.53070163648
0.239977,-0.0005485190399998618
0.239978,-0.0005485190399998618
0.239979,0.030701482880000075
0.23998,-0.03179852096000002
0.239981,-0.03179852096000002
0.239982,-0.03179852096000002
0.239983,-0.03179852096000002
0.239984,0.030701482880000075
0.239985,0.06195148480000001
0.239986,-0.03179852096000002
0.23998699999999998,-0.03179852096000002
0.23998799999999998,2.21820161728
0.23998899999999998,2.18695161536
0.23998999999999998,2.1557016134399998
0.23999099999999998,2.2494516192000003
0.23999199999999998,2.31195162304
0.23999299999999998,-0.0005485190399998618
0.23999399999999999,2.18695161536
0.23999499999999999,2.2494516192000003
0.239996,2.18695161536
0.239997,2.12445161152
0.239998,2.21820161728
0.239999,-0.03179852096000002
0.24,2.0932016096
0.240001,2.21820161728
0.240002,-0.03179852096000002
0.240003,0.030701482880000075
0.240004,2.2494516192000003
0.240005,2.18695161536
0.240006,0.030701482880000075
0.240007,2.21820161728
0.240008,2.18695161536
0.240009,2.18695161536
0.24001,2.1557016134399998
0.240011,2.2494516192000003
0.240012,-0.0005485190399998618
0.240013,2.28070162112
0.240014,2.18695161536
0.24001499999999998,2.18695161536
0.24001599999999998,2.21820161728
0.24001699999999998,2.1557016134399998
0.24001799999999998,-0.0005485190399998618
0.24001899999999998,2.18695161536
0.24001999999999998,2.12445161152
0.24002099999999998,2.18695161536
0.24002199999999999,-0.03179852096000002
0.240023,0.81195153088
0.240024,2.21820161728
0.240025,-0.03179852096000002
0.240026,2.21820161728
0.240027,-0.0005485190399998618
0.240028,-0.03179852096000002
0.240029,-0.0005485190399998618
0.24003,2.28070162112
0.240031,2.21820161728
0.240032,2.21820161728
0.240033,-0.0942985247999999
0.240034,2.18695161536
0.240035,-0.06304852287999996
0.240036,2.18695161536
0.240037,2.1557016134399998
0.240038,2.21820161728
0.240039,2.18695161536
0.24004,-0.0005485190399998618
0.240041,2.12445161152
0.24004199999999998,2.18695161536
0.24004299999999998,-0.06304852287999996
0.24004399999999998,-0.0005485190399998618
0.24004499999999998,-0.03179852096000002
0.24004599999999998,1.03070154432
0.24004699999999998,2.18695161536
0.24004799999999998,2.18695161536
0.24004899999999998,2.18695161536
0.24004999999999999,2.1557016134399998
0.240051,2.21820161728
0.240052,-0.03179852096000002
0.240053,2.21820161728
0.240054,2.1557016134399998
0.240055,2.18695161536
0.240056,2.18695161536
0.240057,2.1557016134399998
0.240058,2.1557016134399998
0.240059,2.18695161536
0.24006,2.18695161536
0.240061,0.21820149439999992
0.240062,2.21820161728
0.240063,2.18695161536
0.240064,0.18695149247999998
0.240065,0.9057015366400001
0.240066,2.18695161536
0.240067,2.2494516192000003
0.240068,1.68695158464
0.240069,2.18695161536
0.24006999999999998,2.34320162496
0.24007099999999998,2.21820161728
0.24007199999999998,2.2494516192000003
0.24007299999999998,2.18695161536
0.24007399999999998,0.030701482880000075
0.24007499999999998,2.18695161536
0.24007599999999998,2.21820161728
0.24007699999999998,-0.03179852096000002
0.24007799999999999,2.1557016134399998
0.240079,-0.06304852287999996
0.24008,-0.0005485190399998618
0.240081,-0.03179852096000002
0.240082,-0.0005485190399998618
0.240083,-0.03179852096000002
0.240084,-0.0005485190399998618
0.240085,-0.0005485190399998618
0.240086,-0.0005485190399998618
0.240087,-0.0005485190399998618
0.240088,-0.0005485190399998618
0.240089,-0.03179852096000002
0.24009,-0.06304852287999996
0.240091,0.030701482880000075
0.240092,2.2494516192000003
0.240093,2.2494516192000003
0.240094,2.2494516192000003
0.240095,2.2494516192000003
0.240096,-0.06304852287999996
0.240097,2.1557016134399998
0.24009799999999998,2.21820161728
0.24009899999999998,2.1557016134399998
0.24009999999999998,2.2494516192000003
0.24010099999999998,2.21820161728
0.24010199999999998,2.18695161536
0.24010299999999998,-0.03179852096000002
0.24010399999999998,2.18695161536
0.24010499999999999,2.18695161536
0.24010599999999999,-0.03179852096000002
0.240107,2.18695161536
0.240108,2.1557016134399998
0.240109,2.1557016134399998
0.24011,2.18695161536
0.240111,2.21820161728
0.240112,2.2494516192000003
0.240113,2.18695161536
0.240114,2.1557016134399998
0.240115,2.18695161536
0.240116,1.6244515808
0.240117,2.21820161728
0.240118,2.1557016134399998
0.240119,2.46820163264
0.24012,2.18695161536
